_MAP_GEOMETRY_,COUNTRY,ID,IDNAME
id 1 of maps.afghanis,110,1,Badakhshan
id 2 of maps.afghanis,110,2,Badghis
id 3 of maps.afghanis,110,3,Baghlan
id 4 of maps.afghanis,110,4,Balkn
id 5 of maps.afghanis,110,5,Bamian
id 6 of maps.afghanis,110,6,Farah
id 7 of maps.afghanis,110,7,Faryab
id 8 of maps.afghanis,110,8,Ghazni
id 9 of maps.afghanis,110,9,Ghowr
id 10 of maps.afghanis,110,10,Helmand
id 11 of maps.afghanis,110,11,Herat
id 12 of maps.afghanis,110,12,Jowzjan
id 13 of maps.afghanis,110,13,Kabol
id 14 of maps.afghanis,110,14,Kapisa
id 15 of maps.afghanis,110,15,Konarha
id 16 of maps.afghanis,110,16,Konduz
id 17 of maps.afghanis,110,17,Laghman
id 18 of maps.afghanis,110,18,Lowgar
id 19 of maps.afghanis,110,19,Nangarhar
id 20 of maps.afghanis,110,20,Nimruz
id 21 of maps.afghanis,110,21,Oruzgan
id 22 of maps.afghanis,110,22,Paktia
id 23 of maps.afghanis,110,23,Paktika
id 24 of maps.afghanis,110,24,Parvan
id 25 of maps.afghanis,110,25,Qandahar
id 26 of maps.afghanis,110,26,Samangan
id 27 of maps.afghanis,110,27,Takhar
id 28 of maps.afghanis,110,28,Vardak
id 29 of maps.afghanis,110,29,Zabol
